uid,org,work_location,certification,issue_date,type
003349781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-04-29,badge
079638781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2022-01-01,badge
079638781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Core,2021-12-30,badge
079638781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Private Infrastructure and Architecture,2019-12-31,badge
079638781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2018-05-01,badge
070611781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Resilience, Growth Minded, Learning Agility, Time Management",2022-06-03,badge
070611781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2022-05-03,badge
070611781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2021-12-29,badge
070611781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-07-10,badge
070611781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2018-12-07,badge
070611781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2018-05-03,badge
070811781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2018-05-04,badge
070811781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-06-10,badge
070609781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Growth Behaviors,2022-10-04,badge
070609781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Private - Foundation Technology,2021-11-12,badge
070609781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Core,2020-11-12,badge
070609781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson and Cloud Foundations,2020-08-31,badge
070609781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Quantum Conversations,2020-02-06,badge
070609781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Automation Practitioner,2019-09-12,badge
070609781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-11-13,badge
070609781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2018-04-20,badge
101723781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Architectural Thinking,2022-03-05,badge
101723781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Team Solution Design,2022-02-21,badge
101723781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Containers & Kubernetes Essentials,2022-02-13,badge
101723781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2022-02-13,badge
101723781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-12-21,badge
101723781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-08-13,badge
101723781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Database Associate - DB2 11.1 Fundamentals for LUW,2021-02-08,badge
081098781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Professional Scrum Master™ I (PSM I),2019-03-19,badge
081098781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Virtual Collaborator,2020-10-29,badge
081098781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Becoming User Centric,2020-10-23,badge
081098781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials,2018-04-11,badge
081098781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-02-29,badge
081098781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2020-10-10,badge
081098781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-10-13,badge
081098781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2020-10-07,badge
081098781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Privacy Foundations,2022-03-10,badge
081098781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",LPI Linux Essentials (29 Mar 2019),,external certification
081098781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Professional Scrum Master I (19 Mar 2019),,external certification
079917781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified First-Line Manager,2021-02-22,badge
079917781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-09-01,badge
079917781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-03-02,badge
079917781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Architectural Thinking,2019-06-15,badge
079917781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-08-28,badge
072711781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Volunteers Engagement Award,2021-07-21,badge
072711781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-12-16,badge
072711781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Architectural Thinking,2020-01-10,badge
072711781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Blue Core Coach,2018-09-24,badge
072711781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Champion,2018-02-28,badge
072711781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-09-12,badge
072711781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Corporate Service Corps Alum,2017-05-26,badge
000552781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Computing Core,2021-12-17,badge
000552781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Resilience, Growth Minded, Learning Agility, Time Management",2021-12-15,badge
000552781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2021-10-29,badge
000552781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2021-10-10,badge
000552781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cloud Core,2021-09-06,badge
000552781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2020-04-29,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Professional Certification: Level 1 - Certified Data Scientist,2022-04-20,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Profession Certification - Level 1 Experienced,2022-04-20,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Professional Certificate (V2),2022-03-02,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Applied Data Science Capstone,2022-03-02,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Speaker/Presenter,2021-11-24,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Blue Core Mentor,2021-12-03,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data & AI Essentials,2021-06-18,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM AI Associate Data Scientist,2021-07-10,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking - Team Essentials for AI,2021-06-25,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Deep Learning using TensorFlow,2021-05-17,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Deep Learning Essentials,2021-05-20,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Analysis Using Python,2021-06-04,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson Speech to Text,2021-08-18,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Databases and SQL for Data Science,2021-08-06,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Machine Learning with Python,2021-08-06,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Visualization with Python,2021-08-05,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Analysis with Python,2021-07-22,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Python Project for Data Science,2021-07-22,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Methodology,2021-07-21,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Orientation,2021-07-14,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Tools for Data Science,2021-07-14,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM AI Associate for All IBMers,2021-07-10,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Machine Learning with Python - Level 1,2021-06-22,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2021-06-18,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Visualization Using Python,2021-06-04,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Applied Data Science with Python - Level 2,2021-06-04,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Robotic Process Automation - Basic,2021-05-31,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 2 (V2),2021-01-26,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Methodologies,2021-01-26,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Tools,2021-01-22,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2021-01-19,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science for Business - Level 1,2021-01-15,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Build Your Own Chatbot - Level 1,2020-11-20,badge
001565781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Machine Learning Specialist - Associate,2022-04-04,badge
07962D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2022-08-16,badge
07962D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-06-27,badge
07962D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking - Team Essentials for AI,2020-04-29,badge
07962D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Team Solution Design,2020-04-08,badge
07962D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevOps Essentials,2020-03-26,badge
07962D781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-08-04,badge
000832781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-11-04,badge
000832781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Explorer Project Manager,2021-11-03,badge
000832781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-11-01,badge
000832781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Resilience, Growth Minded, Learning Agility, Time Management",2021-10-27,badge
000832781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2021-10-27,badge
Y9GBTL820IBM,Finance and Operations,,Oracle Certified Professional: Java SE 11 Developer,2021-04-23,badge
Y9GBTL820IBM,Finance and Operations,,Docker Essentials: A Developer Introduction,2021-02-08,badge
Y9GBTL820IBM,Finance and Operations,,Hadoop Foundations - Level 1,2018-11-26,badge
Y9GBTL820IBM,Finance and Operations,,Spark - Level 1,2018-11-24,badge
Y9GBTL820IBM,Finance and Operations,,IBM Blockchain Foundation Developer,2018-03-15,badge
Y9GBTL820IBM,Finance and Operations,,IBM Blockchain Consulting,2018-03-03,badge
Y9GBTL820IBM,Finance and Operations,,IBM Cloud Essentials,2018-02-16,badge
Y9GBTL820IBM,Finance and Operations,,IBM Blockchain Essentials,2018-02-12,badge
Y9GBTL820IBM,Finance and Operations,,"Oracle Certified Associate, Java SE 8 Programmer",2017-01-24,badge
000692781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Certified Professional Architect - Cloud v5,2022-12-10,badge
000692781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Teacher/Educator,2022-11-29,badge
000692781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Technical Advocate Accelerator,2022-09-22,badge
000692781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Blue Core Mentor,2022-08-03,badge
000692781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Volunteers Engagement Award,2022-08-02,badge
000692781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Essentials,2022-06-28,badge
000692781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Advocate,2022-01-07,badge
000692781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Resilience, Growth Minded, Learning Agility, Time Management",2021-12-14,badge
000692781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2021-12-14,badge
000692781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Business Analytics for IBM Systems,2021-11-30,badge
000692781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevSecOps Essentials,2021-09-18,badge
000692781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Architectural Thinking,2021-05-23,badge
000692781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2021-05-10,badge
000692781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-03-27,badge
000692781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Private - Foundation Technology,2021-02-02,badge
000692781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2020-02-18,badge
000692781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Kubernetes Service,2020-02-18,badge
000692781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-02-13,badge
059691781IBM,Consulting,"Guadalajara, JAL, Mexico",IBM Garage Foundation,2022-06-25,badge
059691781IBM,Consulting,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2022-06-24,badge
059691781IBM,Consulting,"Guadalajara, JAL, Mexico",IBM Garage Essentials,2022-03-22,badge
059691781IBM,Consulting,"Guadalajara, JAL, Mexico",IBM Automation Essentials,2020-06-30,badge
059691781IBM,Consulting,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 1,2017-10-23,badge
059691781IBM,Consulting,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-10-18,badge
001743781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2022-01-19,badge
001743781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Resilience, Growth Minded, Learning Agility, Time Management",2021-12-08,badge
001743781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2021-10-25,badge
049726781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2022-02-22,badge
049726781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-01-17,badge
107791781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Privacy Foundations,2022-12-10,badge
107791781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2022-04-15,badge
107791781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-04-15,badge
107791781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2022-03-23,badge
000308781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Architectural Thinking,2022-06-23,badge
000308781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-10-24,badge
107528781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-04-13,badge
070664781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Create Quota Budget,2020-12-24,badge
070664781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Systems - Design and Deploy Sales Plans,2020-12-24,badge
070664781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-03-22,badge
070664781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Incentives Professional - Foundational Level,2018-09-03,badge
109041781IBM,Finance and Operations,"Mexico City, DIF, Mexico",AWS Certified Cloud Practitioner,2022-11-29,badge
109041781IBM,Finance and Operations,"Mexico City, DIF, Mexico",Enterprise Design Thinking Practitioner,2022-07-20,badge
109041781IBM,Finance and Operations,"Mexico City, DIF, Mexico",IBM Cloud Essentials,2022-07-20,badge
109041781IBM,Finance and Operations,"Mexico City, DIF, Mexico",IBM Agile Explorer,2022-07-12,badge
109041781IBM,Finance and Operations,"Mexico City, DIF, Mexico",IBM Db2 for LUW V11.x Foundations,2021-04-19,badge
106255781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud DevSecOps v1 Specialty - Code: S2112100,2022-12-21,badge
106255781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud DevSecOps Essentials,2022-12-17,badge
070205781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",App Modernization Basics,2022-12-01,badge
070205781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Carbon Design System Developer Essentials - React,2021-07-23,badge
070205781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Automation: Compass,2021-06-08,badge
070205781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2021-05-29,badge
070205781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-12-29,badge
070205781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Architectural Thinking,2019-06-15,badge
070733781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Growth Behaviors,2022-09-21,badge
070733781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science for Business - Level 1,2021-05-12,badge
070733781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Resilience, Growth Minded, Learning Agility, Time Management",2021-05-05,badge
070733781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2021-05-03,badge
070733781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Service Corps Alum with Distinction,2020-01-16,badge
070733781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Service Corps Alum,2020-01-08,badge
070733781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Volunteers - Bronze,2020-01-07,badge
070733781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",TJBot Advocate,2019-12-12,badge
070733781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2019-03-11,badge
070733781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Big Data Foundations - Level 1,2018-07-26,badge
070733781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2018-07-24,badge
070733781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials,2018-03-15,badge
070733781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-04-25,badge
106727781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2022-11-07,badge
106727781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Cognitive Practitioner,2022-11-04,badge
106727781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Co-Creator,2022-10-18,badge
106727781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2022-08-15,badge
07881A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud DevSecOps v1 Specialty - Code: S2112100,2023-01-21,badge
07881A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud DevSecOps Essentials,2022-12-14,badge
07881A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials V2,2021-10-20,badge
07881A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Power AIX User Essentials,2021-07-12,badge
07881A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2021-05-13,badge
07881A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - AIX Systems Administrator - Experienced,2021-04-24,badge
07881A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - AIX Systems Administrator - Fundamentals for UNIX Specialists,2021-04-23,badge
07881A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Interskill - AIX Systems Administrator - Fundamentals,2021-04-22,badge
07881A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2021-03-30,badge
07881A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",DevOps Essentials,2020-11-07,badge
07881A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Virtual Collaborator,2020-08-01,badge
07881A781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2019-06-25,badge
108653781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Automation: Compass,2022-06-24,badge
108653781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2022-06-13,badge
108653781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2022-06-10,badge
108653781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2022-06-09,badge
080862781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Automation Practitioner,2019-08-30,badge
080862781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2021-12-24,badge
080862781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Resilience, Growth Minded, Learning Agility, Time Management",2021-08-12,badge
080862781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Garage Test-Driven Development (TDD),2020-04-27,badge
080862781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2019-11-28,badge
000615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Think Like a Hacker,2021-12-13,badge
000615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Cloud Essentials,2021-05-02,badge
000615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Blockchain Essentials V2,2021-02-21,badge
000615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-06-01,badge
000615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Docker Essentials: A Developer Introduction,2020-03-06,badge
000615781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Security and Privacy by Design Foundations,2020-01-23,badge
081105781IBM,Finance and Operations,"Mexico City, Mexico",Security and Privacy by Design Foundations,2022-10-05,badge
081105781IBM,Finance and Operations,"Mexico City, Mexico",IBM Cloud Essentials,2022-03-30,badge
081105781IBM,Finance and Operations,"Mexico City, Mexico",Cloud Core,2022-03-18,badge
081105781IBM,Finance and Operations,"Mexico City, Mexico",Python for Data Science,2020-04-02,badge
081105781IBM,Finance and Operations,"Mexico City, Mexico",Think Like a Hacker,2020-03-12,badge
081105781IBM,Finance and Operations,"Mexico City, Mexico",Docker Essentials: A Developer Introduction,2020-03-08,badge
081105781IBM,Finance and Operations,"Mexico City, Mexico",DevOps Essentials,2020-03-04,badge
082941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Garage Essentials,2022-08-16,badge
082941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico","People Skills - Communication, Presentation, Collaboration, and Problem Solving",2020-05-29,badge
082941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Earning Advocacy Practitioner,2020-05-29,badge
082941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Sales Management Support - Trusted Advisor,2019-04-02,badge
082941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2018-12-06,badge
082941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Certified Sales Analyst,2018-12-03,badge
082941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson and Cloud Foundations,2018-06-28,badge
082941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Mentor,2018-04-24,badge
082941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Agile Explorer,2017-11-30,badge
082941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",IBM Recognized Teacher/ Educator,2017-11-29,badge
082941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Data Science Foundations - Level 1,2017-11-22,badge
082941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Statistics 101,2017-10-02,badge
082941781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Watson Analytics - Level 1,2017-08-17,badge
000640781IBM,Finance and Operations,"Guadalajara, JAL, Mexico",Enterprise Design Thinking Practitioner,2020-07-09,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",Think Like a Hacker,2022-11-17,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",IBM Garage Essentials,2022-06-09,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",IBM Certified Advocate - Cloud v1,2021-12-16,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",IBM Cloud Essentials,2021-10-04,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",Cloud Core,2021-10-03,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",IBM Automation: Compass,2020-09-24,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",Security and Privacy by Design Foundations,2020-05-27,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",Quality in Practice Badge,2019-10-25,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",The IBM Way,2019-05-31,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",Data Science Foundations - Level 1,2019-03-28,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",Watson Conversation Service Foundations,2018-08-28,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",Watson Assistant Foundations,2018-07-26,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",IBM Blockchain Consulting,2018-06-20,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",Watson Discovery Service Foundations,2018-05-31,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",Cognitive Practitioner,2018-04-24,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",IBM Agile Explorer,2018-04-03,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",Financial Markets Industry Jumpstart,2018-03-17,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",IBM Blockchain Essentials,2018-03-06,badge
048984781IBM,Finance and Operations,"Mexico City, DIF, Mexico",Enterprise Design Thinking Practitioner,2018-01-19,badge
